source,strategy,code,name,signalDate,rank,rank5,rank10,rank20,median5,medianPrev5,medianPrev10,trendScore,hotScore,rankMarketAllCount,entryDate,entryOpen,signalClose,signalAmount,signalTurnover,amount5,amount20,volumeRatio,turnover5,volumeConfirmed,totalMarketValue,floatMarketValue,exitDate5,ret5,exitDate10,ret10,exitDate20,ret20
eastmoney,popularity_only,002251,步步高,2026-05-29,18,2552,2135,2795,42,2128,1995,2460.15,5300011.55244595,5525,2026-06-01,4.61,4.88,1577468338.6,15.63,1093133479.958,230512982.0785001,4.742177512526121,11.4,true,9141578943,7318405205,2026-06-05,0.054229934924078016,2026-06-12,-0.13232104121475063,,
eastmoney,popularity_only,600110,诺德股份,2026-05-29,24,212,830,336,98,222,592.5,459.84999999999997,4871602.410371115,5525,2026-06-01,12.61,12.66,3438621250,15.97,2367875524.2,1757688799.1,1.347152877922666,12.202,true,26530916450,26530916450,2026-06-05,-0.10467882632831094,2026-06-12,0.026169706582077623,,
eastmoney,popularity_only,000539,粤电力Ａ,2026-05-29,7,1058,543,581,19,1001,534,628.25,8721903.26481349,5525,2026-06-01,9.77,8.88,1024388057.13,4.56,935823344.892,1317106587.0075002,0.7105145127382702,4.869999999999999,false,34284354429,16686676450,2026-06-05,-0.1555783009211873,2026-06-12,-0.24872057318321394,,
eastmoney,popularity_only,600021,XD上海电,2026-05-29,41,571,7,1135,78,430,855.5,639.35,3524916.066200732,5525,2026-06-01,21.71,21.91,5235320807,8.48,4035286552,1140281460.25,3.5388513210723316,6.936000000000002,true,42441012107,42441012107,2026-06-05,-0.12344541685859045,2026-06-12,-0.2247812068171351,,
eastmoney,popularity_only,301071,力量钻石,2026-05-28,114,215,656,1760,140,640,1282.5,1032.7,3591141.253786111,5524,2026-05-29,83.3,82.9,2948194322,19.02,2537010079,887797220.7,2.8576458901275315,17.747999999999998,true,25402577749,18824213602,2026-06-04,-0.06758703481392547,2026-06-11,-0.15126050420168058,2026-06-26,0.17166866746698672
eastmoney,popularity_only,300502,新易盛,2026-05-28,63,109,208,149,63,129,138,96.60000000000001,4890180.0162622025,5524,2026-05-29,512.14,512.39,23798434942,3.83,26821172026.6,23475733101.4,1.14250626000687,4.587999999999999,false,789149283144,709901627428,2026-06-04,0.08081774514781115,2026-06-11,0.027062912484867363,2026-06-26,0.10516655601983826
eastmoney,popularity_only,600176,中国巨石,2026-05-28,16,68,284,176,87,148,157.5,167.25,9150057.837576676,5524,2026-05-29,43.48,43.48,7290062390,4.4,6582198557.4,5167575758.2,1.2737497939832332,4.132,true,296712494279,296712494279,2026-06-04,-0.11706531738730441,2026-06-11,-0.05542778288868433,2026-06-26,0.7046918123275072
eastmoney,popularity_only,600367,红星发展,2026-05-28,45,323,419,843,139,443,602.5,559.35,5497746.885091761,5524,2026-05-29,34.21,33.21,2009530252,19.57,1534864029.4,892778862.25,1.7191984424136157,16.05,true,19881108969,18764597047,2026-06-04,0.3732826658871673,2026-06-11,0.579362759427068,2026-06-26,0.703595439929845
eastmoney,popularity_only,600726,华电能源,2026-05-28,11,542,190,116,18,435,139,192.69999999999996,9788187.071882434,5524,2026-05-29,9.75,9.21,2141987825,3.13,1292228054.4,2719404747.75,0.47518783493673483,2.232,false,56853747350,53747667336,2026-06-04,0.06564102564102581,2026-06-11,-0.16717948717948727,2026-06-26,-0.26256410256410256
eastmoney,popularity_only,000509,华塑控股,2026-05-28,42,1163,996,471,42,1393,1352.5,778.45,5770170.007126042,5524,2026-05-29,6.3,5.73,352414272.6,5.73,536533702.05799997,145385435.0665,3.6904226466192216,10.522,true,3959842512,3959830542,2026-06-04,-0.2396825396825396,2026-06-11,-0.3492063492063493,2026-06-26,-0.41428571428571426
eastmoney,popularity_only,603773,沃格光电,2026-05-28,22,97,147,147,27,97,105.5,112.85,7578122.3235224085,5524,2026-05-29,112,109.99,2841326909,12.02,2690700194.6,2035514236.55,1.3218773645918964,12.989999999999998,true,40006680674,39992796674,2026-06-04,0.09285714285714297,2026-06-11,0.24517857142857147,2026-06-26,0.5892857142857142
eastmoney,popularity_only,301217,铜冠铜箔,2026-05-28,24,112,285,165,127,317,224,164.64999999999998,7348738.405005855,5524,2026-05-29,111.2,119.08,5959313113,6.47,4138359419,3687024377.9,1.1224117322915734,5.014,false,141181347143,141181347143,2026-06-04,-0.013039568345323715,2026-06-11,0.15089928057553958,2026-06-26,0.531474820143885
